"","quarter","typeEM","mean_low","sd_low","mean_medium","sd_medium","mean_high","sd_high","rownumber"
"1",1,"nfix","=""60.93""","=""42.28""","=""80.90""","=""60.78""","=""97.17""","=""91.05""",1
"2",1,"bsac","="".58""","="".27""","="".51""","="".24""","="".52""","="".23""",2
"3",1,"asac","="".23""","="".21""","="".28""","="".20""","="".27""","="".17""",3
"4",1,"nsac","="".19""","="".17""","="".20""","="".13""","="".21""","="".15""",4
"5",2,"nfix","=""63.40""","=""42.94""","=""82.11""","=""62.65""","=""98.26""","=""90.56""",5
"6",2,"bsac","="".59""","="".23""","="".52""","="".22""","="".50""","="".21""",6
"7",2,"asac","="".22""","="".17""","="".27""","="".17""","="".29""","="".16""",7
"8",2,"nsac","="".18""","="".12""","="".21""","="".11""","="".21""","="".11""",8
"9",3,"nfix","=""67.98""","=""44.65""","=""86.23""","=""65.48""","=""103.42""","=""92.31""",9
"10",3,"bsac","="".58""","="".22""","="".55""","="".22""","="".51""","="".20""",10
"11",3,"asac","="".22""","="".17""","="".25""","="".16""","="".27""","="".15""",11
"12",3,"nsac","="".20""","="".12""","="".20""","="".11""","="".21""","="".11""",12
"13",4,"nfix","=""69.01""","=""45.39""","=""87.47""","=""64.90""","=""103.94""","=""89.78""",13
"14",4,"bsac","="".66""","="".22""","="".62""","="".22""","="".61""","="".21""",14
"15",4,"asac","="".15""","="".14""","="".18""","="".13""","="".19""","="".13""",15
"16",4,"nsac","="".19""","="".15""","="".20""","="".15""","="".21""","="".13""",16
"17",1234,"nfix","=""261.32""","=""173.56""","=""336.71""","=""252.60""","=""402.79""","=""361.96""",17
"18",1234,"bsac","="".61""","="".19""","="".56""","="".19""","="".54""","="".17""",18
"19",1234,"asac","="".21""","="".13""","="".24""","="".13""","="".25""","="".12""",19
"20",1234,"nsac","="".19""","="".10""","="".20""","="".09""","="".21""","="".09""",20
